Concentration,VOC,JSC,ff,PCE
0,0.999964,23.714743,0.583587,13.839117
0,0.875014,17.5133,0.61349,9.401353
0,0.875029,17.628886,0.609457,9.401353
0,0.999967,25.685571,0.568943,14.613139
7,0.925018,23.620757,0.58,12.651088
7,0.900153,18.968329,0.62498,10.671166
7,0.900157,19.989914,0.593038,10.671166
7,0.874961,26.499829,0.652577,15.130854
15,0.97497,23.659343,0.569677,13.140835
15,0.674648,17.996743,0.369345,4.484386
15,0.674644,18.842214,0.352774,4.484386
15,0.97497,25.294871,0.623758,15.382958
29,0.924962,23.603457,0.469725,10.255168
29,0.924982,14.760571,0.466031,6.362852
29,0.925001,13.542186,0.50795,6.362852
29,0.924997,23.8217,0.546387,12.039652
36,0.924816,21.620771,0.468891,9.375594
36,0.949677,16.6975,0.47973,7.607196
36,0.949685,17.0,0.472552,7.607196
36,0.949717,22.566329,0.538154,11.533522
43,0.924854,20.887129,0.488416,9.434991
43,0.874853,17.1088,0.484079,7.245535
43,0.874807,18.445914,0.449012,7.245535
43,0.949727,23.363743,0.534408,11.85806
50,0.9248013,19.1616,0.4599294244322622,8.15025874490806
50,0.924821,15.2,0.4730439194706073,6.658897549824267
50,0.9248606,14.380085714,0.5006849992783983,6.658897549824267
50,0.9497435,20.909514286,0.5283146134615451,10.491628355090764
