Concentration,VOC,JSC,ff,PCE
0,0.875089,15.603314,0.426349,5.821497
0,0.800152,18.210857,0.424489,6.185427
0,0.850229,17.051771,0.49574,7.187192
0,0.875085,21.367729,0.623778,11.66376
7,0.874978,18.345386,0.433126,6.952457
7,0.824913,19.9918,0.451285,7.442362
7,0.800052,19.570371,0.47231,7.395109
7,0.900181,17.624414,0.532842,8.453632
15,0.874833,13.00243,0.428536,4.874574
15,0.774694,17.887643,0.44381,6.150079
15,0.849982,18.5741,0.493992,7.798971
15,0.87485,11.828136,0.568061,5.878203
29,0.87495,13.518869,0.387381,4.582075
29,0.800056,18.479671,0.451613,6.676997
29,0.850125,20.029843,0.474987,8.088017
29,0.850116,10.869781,0.552065,5.101395
36,0.874802,11.493564,0.453911,4.563889
36,0.749814,17.034329,0.439416,5.612473
36,0.849919,17.483229,0.494372,7.346036
36,0.849931,11.087431,0.561024,5.286832
43,0.87482,15.3467,0.388199,5.211806
43,0.649711,19.062757,0.403646,4.999272
43,0.149583,16.116086,0.27742,0.668775
43,0.874812,12.56836,0.4933,5.423813
50,0.8749185,12.426075714,0.3865445106756915,4.2024359735707675
50,0.7499303,18.570242857,0.437864810028595,6.097875147040389
50,0.8248685,16.511328571,0.4758444591612836,6.480846804084811
50,0.8500655,10.692242857,0.5261199320140603,4.78196023608883
